Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Steven Adams,26,C,OKC,63,63,26.7,10.9,.592,.594,.333,.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,2020
Bam Adebayo,22,PF,MIA,72,72,33.6,15.9,.557,.564,.143,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,2020
LaMarcus Aldridge,34,C,SAS,53,53,33.1,18.9,.493,.519,.389,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,2020
Kyle Alexander,23,C,MIA,2,0,6.5,1.0,.500,.500,,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,2020
Nickeil Alexander-Walker,21,SG,NOP,47,1,12.6,5.7,.368,.391,.346,.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,2020
Grayson Allen,24,SG,MEM,38,0,18.9,8.7,.466,.545,.404,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,2020
Jarrett Allen,21,C,BRK,70,64,26.5,11.1,.649,.658,.000,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,2020
Kadeem Allen,27,PG,NYK,10,0,11.7,5.0,.432,.500,.313,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,2020
Al-Farouq Aminu,29,PF,ORL,18,2,21.1,4.3,.291,.320,.250,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,2020
Justin Anderson,26,SG,BRK,10,1,10.7,2.8,.263,.444,.207,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2020
Kyle Anderson,26,SF,MEM,67,28,19.9,5.8,.474,.541,.282,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,2020
Ryan Anderson,31,C,HOU,2,0,7.0,2.5,.286,.500,.200,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2020
Giannis Antetokounmpo,25,PF,MIL,63,63,30.4,29.5,.553,.631,.304,.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,2020
Kostas Antetokounmpo,22,PF,LAL,5,0,4.0,1.4,1.000,1.000,,.500,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,2020
Thanasis Antetokounmpo,27,SF,MIL,20,2,6.5,2.8,.500,.632,.000,.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2020
Carmelo Anthony,35,PF,POR,58,58,32.8,15.4,.430,.448,.385,.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,2020
OG Anunoby,22,SF,TOR,69,68,29.9,10.6,.505,.583,.390,.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,2020
Ryan Arcidiacono,25,PG,CHI,58,4,16.0,4.5,.409,.439,.391,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,2020
Trevor Ariza,34,SF,TOT,53,21,28.2,8.0,.438,.556,.372,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,2020
D.J. Augustin,32,PG,ORL,57,13,24.9,10.5,.399,.438,.348,.890,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,2020
Deandre Ayton,21,C,PHO,38,32,32.5,18.2,.546,.553,.231,.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,2020
Dwayne Bacon,24,SG,CHO,39,11,17.6,5.7,.348,.373,.284,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,2020
Marvin Bagley III,20,C,SAC,13,6,25.7,14.2,.467,.510,.182,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,2020
Lonzo Ball,22,PG,NOP,63,54,32.1,11.8,.403,.442,.375,.566,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,2020
Mo Bamba,21,C,ORL,62,0,14.2,5.4,.462,.531,.346,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,2020
J.J. Barea,35,PG,DAL,29,6,15.5,7.7,.411,.434,.376,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,2020
Harrison Barnes,27,PF,SAC,72,72,34.5,14.5,.460,.501,.381,.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,2020
