year,player
2022,Giannis Antetokounmpo
2022,Jayson Tatum
2022,Luka Doncic
2022,Devin Booker
2022,Nikola Jokic
2021,Kawhi Leonard
2021,Stephen Curry
2021,Nikola Jokic
2021,Giannis Antetokounmpo
2021,Luka Doncic
2020,Luka Doncic
2020,Giannis Antetokounmpo
2020,Anthony Davis
2020,James Harden
2020,LeBron James
2019,James Harden
2019,Giannis Antetokounmpo
2019,Stephen Curry
2019,Paul George
2019,Nikola Jokic
2018,Damian Lillard
2018,Anthony Davis
2018,James Harden
2018,Kevin Durant
2018,LeBron James
2017,Kawhi Leonard
2017,LeBron James
2017,Russell Westbrook
2017,James Harden
2017,Anthony Davis
2016,Kawhi Leonard
2016,Stephen Curry
2016,Russell Westbrook
2016,DeAndre Jordan
2016,LeBron James
2015,Anthony Davis
2015,LeBron James
2015,Stephen Curry
2015,James Harden
2015,Marc Gasol
2014,James Harden
2014,Joakim Noah
2014,Kevin Durant
2014,Chris Paul
2014,LeBron James
2013,Chris Paul
2013,Tim Duncan
2013,LeBron James
2013,Kevin Durant
2013,Kobe Bryant
2012,Kobe Bryant
2012,LeBron James
2012,Dwight Howard
2012,Chris Paul
2012,Kevin Durant
2011,Kobe Bryant
2011,LeBron James
2011,Dwight Howard
2011,Kevin Durant
2011,Derrick Rose
