Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Arron Afflalo,25,Guard,DEN,69.0,69,33.7,12.6,0.498,0.546,0.423,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,2011,0
LaMarcus Aldridge,25,Forward,POR,81.0,81,39.6,21.8,0.5,0.505,0.174,0.7909999999999999,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,2011,0
Ray Allen,35,Guard,BOS,80.0,80,36.1,16.5,0.491,0.52,0.444,0.8809999999999999,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,2011,0
Tony Allen,29,Guard,MEM,72.0,31,20.8,8.9,0.51,0.527,0.174,0.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,2011,0
Ryan Anderson,22,Forward,ORL,64.0,14,22.3,10.6,0.43,0.5,0.393,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,2011,0
Carmelo Anthony,26,Forward,TOT,77.0,77,35.7,25.6,0.455,0.47,0.378,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,2011,0
Gilbert Arenas,29,Guard,TOT,70.0,16,25.7,10.8,0.366,0.423,0.297,0.784,0.3,2.4,2.7,3.9,1.1,0.3,2.5,2.7,2011,0
Trevor Ariza,25,Forward,NOP,75.0,75,34.7,11.0,0.398,0.45,0.303,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,2011,0
Darrell Arthur,22,Forward,MEM,80.0,9,20.1,9.1,0.4970000000000001,0.502,0.0,0.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,2011,0
D.J. Augustin,23,Guard,CHO,82.0,82,33.6,14.4,0.416,0.461,0.333,0.906,0.5,2.3,2.7,6.1,0.7,0.0,1.9,1.9,2011,0
Leandro Barbosa,28,Guard,TOR,58.0,0,24.1,13.3,0.45,0.505,0.338,0.7959999999999999,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,2011,0
J.J. Barea,26,Guard,DAL,81.0,2,20.6,9.5,0.439,0.476,0.349,0.847,0.4,1.6,2.0,3.9,0.4,0.0,1.7,1.7,2011,0
Andrea Bargnani,25,Center,TOR,66.0,66,35.7,21.4,0.448,0.472,0.345,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,2011,0
Brandon Bass,25,Forward,ORL,76.0,51,26.1,11.2,0.515,0.516,0.0,0.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,2011,0
Nicolas Batum,22,Forward,POR,80.0,67,31.5,12.4,0.455,0.535,0.345,0.841,1.4,3.2,4.5,1.5,0.9,0.6,1.0,2.4,2011,0
Jerryd Bayless,22,Guard,TOT,71.0,14,21.1,9.2,0.422,0.456,0.336,0.8059999999999999,0.4,2.0,2.3,3.7,0.5,0.1,1.8,2.1,2011,0
Michael Beasley,22,Forward,MIN,73.0,73,32.3,19.2,0.45,0.463,0.366,0.753,1.6,4.0,5.6,2.2,0.7,0.7,2.7,3.0,2011,0
Rodrigue Beaubois,22,Guard,DAL,28.0,26,17.7,8.4,0.422,0.493,0.301,0.767,0.3,1.6,1.9,2.3,0.7,0.3,1.7,2.7,2011,0
Marco Belinelli,24,Guard,NOP,80.0,69,24.5,10.5,0.4370000000000001,0.458,0.414,0.784,0.2,1.7,1.9,1.2,0.5,0.1,1.0,1.8,2011,0
Mike Bibby,32,Guard,TOT,80.0,68,28.6,8.6,0.431,0.417,0.44,0.629,0.2,2.2,2.4,3.3,0.6,0.1,1.3,2.2,2011,0
Chauncey Billups,34,Guard,TOT,72.0,72,32.1,16.8,0.4270000000000001,0.448,0.402,0.916,0.3,2.3,2.6,5.4,1.0,0.2,2.5,2.0,2011,0
Andray Blatche,24,Forward,WAS,64.0,63,33.9,16.8,0.445,0.449,0.222,0.777,2.9,5.4,8.2,2.3,1.5,0.8,2.7,2.8,2011,0
Andrew Bogut,26,Center,MIL,65.0,65,35.3,12.8,0.495,0.4970000000000001,0.0,0.442,3.1,8.0,11.1,2.0,0.7,2.6,1.9,3.3,2011,0
Carlos Boozer,29,Center,CHI,59.0,59,31.9,17.5,0.51,0.51,0.0,0.701,2.2,7.4,9.6,2.5,0.8,0.3,2.5,3.2,2011,0
Chris Bosh,26,Forward,MIA,77.0,77,36.3,18.7,0.496,0.502,0.24,0.815,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2,2011,0
Elton Brand,31,Forward,PHI,81.0,81,34.7,15.0,0.512,0.512,0.0,0.78,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3.0,2011,0
Aaron Brooks,26,Guard,TOT,59.0,12,21.8,10.7,0.375,0.4270000000000001,0.297,0.8859999999999999,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,2011,0
Shannon Brown,25,Guard,LAL,82.0,0,19.1,8.7,0.425,0.462,0.349,0.911,0.4,1.5,1.9,1.2,0.8,0.2,0.9,1.5,2011,0
Kobe Bryant,32,Guard,LAL,82.0,82,33.9,25.3,0.451,0.487,0.32299999999999995,0.828,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1,2011,1
Chase Budinger,22,Forward,HOU,78.0,22,22.3,9.8,0.425,0.4970000000000001,0.325,0.855,0.7,2.9,3.6,1.6,0.5,0.2,0.9,1.5,2011,0
Caron Butler,30,Forward,DAL,29.0,29,29.9,15.0,0.45,0.454,0.431,0.773,0.8,3.3,4.1,1.6,1.0,0.3,1.7,2.0,2011,0
Andrew Bynum,23,Center,LAL,54.0,47,27.8,11.3,0.574,0.574,0.0,0.66,3.1,6.3,9.4,1.4,0.4,2.0,1.4,2.6,2011,0
José Calderón,29,Guard,TOR,68.0,55,30.9,9.8,0.44,0.466,0.365,0.8540000000000001,0.4,2.5,3.0,8.9,1.2,0.1,2.2,2.1,2011,0
Vince Carter,34,Guard,TOT,73.0,63,28.1,14.0,0.4370000000000001,0.479,0.361,0.74,0.7,3.0,3.8,2.0,0.9,0.3,1.2,2.6,2011,0
